st ths tht th7 th8 th0 th1  mf  ms/C mt/C ind tri   tri2 accs accm     cu1  cd1  su1  sd1  cu2  cu2  su2  sd2
#  x       x   x   x
0  0   5   0   0   0   10   1   SUS  Al   -2  0     0    0    0        0 0 0 0 0 0 0 0 
1  10  5   10  10  10  10   1   SUS  Al   -1  67    36   12.9 17.05    0 0 0 0 0 0 0 0 
1  10  5   10  10  10  10   1   SUS  Al   0   53    30   10.85 19.26   0 0 0 0 0 0 0 0 
1  0   0   0   0   0   0    1   SUS  SUS  1   73    50   11.51 15.3    0 0 0 0 0 0 0 0 
1  0.1 0.1 0.1 0.1 0.1 0.1  1   SUS  SUS  2   73    50   11.69 15.18   0 0 0 0 0 0 0 0 
#  
1  4   5   1   5   1   10   1   SUS  Al   3   46    33   12.63 12.1    3180 1365 242 916 735 522 118 473
1  5   5   1   5   1   10   1   SUS  Al   4   39    26   13.268 11.974 0 0 0 0 0 0 0 0  
1  4   5   1   5   3   10   1   SUS  Al   5   42    23   13.36 10.68   2935 1204 175 856 697 403 102 406
1  4   4   1   4   5   5    1   Al   Al   6  41.2  20.8  13.34 10.868  0 0 0 0 0 0 0 0 
1  5   5   1   5   5   10   1   SUS  Al   7   31   20.2  12.742 9.54   0 0 0 0 0 0 0 0 
1  4   5   1   1   5   10   1   SUS  Al   8   36    18   12.84 10.06   2595 1053 153 862 629 411 92 362
1  4   5   1   5   5   10   1   SUS  Al   9  23.8  11.6  13.7 9.47     2629 1110 173 763 599 433 86 390
1  4   5   1   5   8   10   1   SUS  Al   10  26    13   13.09 9.28    0 0 0 0 0 0 0 0 
1  4   5   1   5   10  10   1   SUS  Al   11  19   10.8  12.94 9.17    2115 816 104 639 485 336 59 320
1  4   4   4   4   8   1    1   Al   Al   12  21    12   12.922 9.384  0 0 0 0 0 0 0 0 
1  4   4   4   4   8   5    1   Al   Al   13 24.6  12.8  13.178 9.726  3085 1076 155 723 549 397 68 310
1  5   5   5   5   5   10   1   SUS  Al   14  28    15   12.838 9.16   0 0 0 0 0 0 0 0 
1  5   5   5   5   5   10   1   Al   Al   15  31    18   12.65 8.5     0 0 0 0 0 0 0 0 
1  4   5   5   5   5   10   1   SUS  Al   16  23    19   12.47 9.62    0 0 0 0 0 0 0 0 
#  
1  4   4   1   4   5   5    1   SUS  SUS  17 26.8  16.2  12.954 10.11  3144 1187 173 795 654 440 106 397
1  4   4   1   4   8   1    1   SUS  SUS  18  27    15   12.812 9.05   0 0 0 0 0 0 0 0 
1  4   4   1   4   8   1    1   SUS  SUS  19  27    15   9.53 6.72     0 0 0 0 0 0 0 0 
1  4   4   1   4   8   1    1   SUS  SUS  20  27    15   11.87 8.68    0 0 0 0 0 0 0 0 
1  4   4   1   4   8   1    1   SUS  SUS  21  27    15   11.47 8.49    0 0 0 0 0 0 0 0 
1  4   4   4   4   8   1    1   SUS  SUS  22 17.6   9.2  11.74 8.48    0 0 0 0 0 0 0 0 
1  4   4   4   4   5   1    1   SUS  SUS  23  18    8    11.99 9       0 0 0 0 0 0 0 0 
1  2   2   2   5   5   10   1   SUS  SUS  24  18    12   12.7 9.72     0 0 0 0 0 0 0 0 
1  3   3   3   5   5   10   1   SUS  SUS  25 19.6   9.8  12.03 9.44    0 0 0 0 0 0 0 0 
1  4   4   5   5   5   10   1   SUS  SUS  26 16.8   9.2  12.57 8.33    0 0 0 0 0 0 0 0 
1  4   4   4   4   8   10   1   SUS  SUS  27 13.8   8.6  12.046 8.08   0 0 0 0 0 0 0 0 
1  5   5   5   5   8   10   1   SUS  SUS  28  10.2  5.2  11.26 8.05    0 0 0 0 0 0 0 0 
0  10  5   10  10  10  10   1   SUS  Al   29  0     0    100  100      0 0 0 0 0 0 0 0 
#                                                         
#1  5   5   5   5   5   10  0.95 SUS Al   13  0     0    13.89 9.43    0 0 0 0 0 0 0 0 
#1  5   5   5   5   5   10   0.9 SUS Al   14  0     0    14.72 9.21    0 0 0 0 0 0 0 0 
#1  5   5   5   5   5   10  0.85 SUS Al   15  0     0    12.42 7.77    0 0 0 0 0 0 0 0 
#2 4   5   1   5   8   8    1   SUS  Al   3    0     0    13.09 9.28   0 0 0 0 0 0 0 0 
#2 4   5   1   5   8   5    1   SUS  Al   4    0     0    13.09 9.28   0 0 0 0 0 0 0 0 
#2 4   5   1   5   8   3    1   SUS  Al   5    0     0    13.09 9.28   0 0 0 0 0 0 0 0 
#2 4   5   1   5   8   1    1   SUS  Al   6    0     0    13.09 9.28   0 0 0 0 0 0 0 0 
